id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,"Thời gian xử lý ticket P1 là 4 giờ kể từ khi ticket được tạo, với phản hồi ban đầu trong 15 phút và tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút [1].",Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Every claim in the answer is directly supported by the context provided for Ticket P1.,5,"The answer directly and fully addresses the question by providing the specific SLA for processing P1 tickets, including details about initial response time and escalation.",5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points from the expected answer, including the initial response time of 15 minutes and the resolution time of 4 hours.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,The answer accurately reflects the information provided in the context regarding the timeframe for requesting a refund.,5,The answer directly and fully addresses the question by specifying the time frame for requesting a refund.,5,Retrieved: 1/1 expected sources,5,The model answer covers all key points from the expected answer without any omissions.,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,Every claim in the answer is directly supported by the context regarding the requirements for Level 3 access.,5,The answer directly addresses the question by specifying who needs to approve the granting of Level 3 permissions.,5,Retrieved: 1/1 expected sources,5,All key points from the expected answer are covered in the model answer.,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"The answer is mostly grounded in the context, as it correctly states that digital products are not refundable unless there is a manufacturer defect and other conditions are met. However, it could be seen as slightly uncertain regarding the specifics of the conditions, which are not fully detailed in the answer.",5,"The answer directly addresses the question about the refund policy for digital products, providing a clear explanation of the conditions under which refunds may be granted.",5,Retrieved: 1/1 expected sources,3,"The model answer correctly states that digital products are not refundable, but it introduces an exception for manufacturer errors without mentioning that digital products are generally non-refundable according to the policy, which is an important detail.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Every claim in the answer is directly supported by the context.,5,The answer directly and fully addresses the question by providing the specific number of failed login attempts that lead to account lockout.,5,Retrieved: 1/1 expected sources,5,All key points from the expected answer are covered.,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,Escalation trong sự cố P1 diễn ra tự động lên Senior Engineer nếu không có phản hồi trong 10 phút kể từ khi ticket được tạo [2].,Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the information provided in the context regarding the escalation process for P1 tickets, stating that it occurs automatically to a Senior Engineer if there is no response within 10 minutes of ticket creation.",5,"The answer directly addresses the question about how escalation occurs in a P1 incident, providing specific details about the process.",5,Retrieved: 1/1 expected sources,5,The model answer covers all key points from the expected answer without missing any details.,baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu có tên ""Approval Matrix for System Access"" [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer accurately reflects the information from the context, stating the document's name and its purpose without adding any unsupported claims.",5,The answer directly and fully addresses the question by providing the specific name of the document related to the Approval Matrix for system access.,5,Retrieved: 1/1 expected sources,3,"The model answer mentions the old name of the document but fails to include the new name 'Access Control SOP' and does not reference the file name 'access-control-sop.md', which are important details.",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành probation period, và lịch remote phải được Team Lead phê duyệt qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,Every claim in the answer is directly supported by the context regarding remote work conditions.,5,The answer directly addresses the question by providing the specific number of remote work days allowed per week and includes relevant conditions.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points from the expected answer, including the maximum number of remote days, the probation period condition, and the requirement for Team Lead approval.",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không đủ dữ liệu.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",1,The answer 'Không đủ dữ liệu' (Not enough data) does not provide any information that is supported by the context and does not relate to the details provided.,1,The answer does not address the question at all and provides no relevant information about the ERR-403-AUTH error or how to handle it.,,No expected sources (abstain test),1,"The model answer is missing most core content, as it does not address the nature of the ERR-403-AUTH error or provide any guidance on how to handle it.",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không đủ dữ liệu.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,The answer 'Không đủ dữ liệu' does not provide any information that is supported by the context and does not address any specific claims or details from the retrieved context.,1,The answer does not address the question at all and provides no relevant information.,5,Retrieved: 1/1 expected sources,1,The model answer does not address the question at all and lacks any relevant information.,baseline_dense
q01,SLA,SLA xử lý ticket P1 là bao lâu?,"Thời gian xử lý ticket P1 là 4 giờ kể từ khi ticket được tạo, với phản hồi ban đầu trong 15 phút [1].",Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Every claim in the answer is directly supported by the context regarding ticket P1's resolution time and initial response time.,5,The answer directly and fully addresses the question by providing the specific SLA for processing P1 tickets.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points from the expected answer, including both the initial response time of 15 minutes and the resolution time of 4 hours.",variant_hybrid_rerank_parent
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer is fully supported by the context, stating that customers can request a refund within 7 working days from the order confirmation.",5,The answer directly addresses the question by specifying the time frame for requesting a refund.,5,Retrieved: 1/1 expected sources,5,The model answer covers all key points from the expected answer without any omissions.,variant_hybrid_rerank_parent
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, yêu cầu phải được phê duyệt bởi Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"Every claim in the answer is directly supported by the context, specifically stating the approval requirements for Level 3 access.",5,The answer directly and fully addresses the question by specifying who must approve the granting of Level 3 permissions.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points from the expected answer, including the necessary approvals from Line Manager, IT Admin, and IT Security.",variant_hybrid_rerank_parent
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi sản phẩm bị lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"The answer is mostly grounded in the context, as it correctly states that digital products are not refundable unless they are defective due to the manufacturer. However, it does not explicitly mention the requirement to submit the refund request within 7 days, which is a minor detail that could enhance the completeness of the answer.",5,"The answer directly addresses the question about the refund policy for digital products, providing a clear explanation of the conditions under which refunds may be granted.",5,Retrieved: 1/1 expected sources,3,"The model answer correctly states that digital products are not refundable, but it introduces an exception for defective products, which is not mentioned in the expected answer. This adds important information but deviates from the expected response.",variant_hybrid_rerank_parent
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Every claim in the answer is directly supported by the context.,5,The answer directly and fully addresses the question by providing the specific number of failed login attempts that lead to an account being locked.,5,Retrieved: 1/1 expected sources,5,All key points from the expected answer are covered.,variant_hybrid_rerank_parent
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau: Nếu không có phản hồi trong 10 phút, ticket sẽ tự động được escalate lên Senior Engineer. Phản hồi ban đầu phải được thực hiện trong 15 phút và xử lý khắc phục trong 4 giờ [2].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"Every claim in the answer is directly supported by the context, accurately reflecting the escalation process and response times for ticket P1.",5,"The answer directly and fully addresses the question about how escalation occurs in a P1 incident, providing specific timeframes and procedures.",5,Retrieved: 1/1 expected sources,4,"The model answer covers the main point about the automatic escalation to a Senior Engineer after 10 minutes but includes additional details about initial response and resolution time, which are not part of the expected answer.",variant_hybrid_rerank_parent
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu trước đây có tên ""Approval Matrix for System Access"" [2].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer accurately reflects the information from the context, specifically mentioning that the Approval Matrix for system access was previously named 'Approval Matrix for System Access'.",5,The answer directly addresses the question by providing the name of the document related to the Approval Matrix for system access.,5,Retrieved: 1/1 expected sources,2,"The model answer is missing the current name of the document, 'Access Control SOP', which is an important detail.",variant_hybrid_rerank_parent
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành probation period, và lịch remote phải được Team Lead phê duyệt qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,Every claim in the answer is directly supported by the context provided.,5,The answer directly addresses the question by providing the specific number of remote work days allowed per week and additional relevant context about the probation period and approval process.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points from the expected answer, including the maximum number of remote days, the probation period condition, and the requirement for Team Lead approval.",variant_hybrid_rerank_parent
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không đủ dữ liệu.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"The answer 'Không đủ dữ liệu' accurately reflects the lack of sufficient information in the provided context, and it does not introduce any unsupported claims.",1,The answer does not address the question at all and provides no relevant information about the ERR-403-AUTH error or how to handle it.,,No expected sources (abstain test),1,"The model answer is missing most core content, as it does not address the nature of the ERR-403-AUTH error or provide any guidance on how to handle it.",variant_hybrid_rerank_parent
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không đủ dữ liệu.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,The answer 'Không đủ dữ liệu' does not provide any information from the context and does not address the conditions for refunds or escalation processes mentioned.,1,The answer does not address the question at all and provides no relevant information.,5,Retrieved: 1/1 expected sources,1,The model answer does not address the question at all and lacks any relevant information from the expected answer.,variant_hybrid_rerank_parent
